order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,432,1,19.33,0.0,19.33
2,1,399,1,1128.83,0.0,1128.83
3,1,284,1,1420.88,0.0,1420.88
4,2,294,1,370.51,0.0,370.51
5,3,405,2,379.09,10.0,682.36
6,3,316,1,513.19,5.0,487.53
7,4,276,1,786.26,0.0,786.26
8,4,325,1,47.55,0.0,47.55
9,5,280,1,60.79,0.0,60.79
10,5,483,3,641.65,10.0,1732.46
11,5,80,1,1675.76,0.0,1675.76
12,5,367,1,874.04,150.0,786.64
13,6,441,4,459.15,0.0,1836.6
14,7,268,2,68.84,10.0,123.91
15,8,344,1,516.4,0.0,516.4
16,9,98,1,431.65,10.0,388.48
17,10,305,2,9.24,15.0,15.71
18,11,109,3,15.52,5.0,44.23
19,11,281,2,1774.4,0.0,3548.8
20,11,199,2,44.93,15.0,76.38
21,12,284,1,1420.88,0.0,1420.88
22,12,422,3,251.83,0.0,755.49
23,13,406,1,93.99,5.0,89.29
24,13,122,1,163.66,0.0,163.66
25,13,63,1,382.35,20.0,305.88
26,14,78,1,248.82,0.0,248.82
27,15,382,1,37.3,5.0,35.43
28,16,12,1,449.69,5.0,427.21
29,16,361,1,227.26,0.0,227.26
30,16,37,1,197.15,0.0,197.15
31,17,15,1,286.6,5.0,272.27
32,18,316,4,513.19,10.0,1847.48
33,19,268,1,68.84,20.0,55.07
34,20,306,1,116.99,5.0,111.14
35,21,363,2,178.93,0.0,357.86
36,21,188,2,293.39,0.0,586.78
37,22,492,2,182.0,5.0,345.8
38,22,72,2,70.84,0.0,141.68
39,22,35,3,51.44,0.0,154.32
40,23,350,1,1207.64,0.0,1207.64
41,23,474,1,479.82,0.0,479.82
42,23,268,1,68.84,10.0,61.96
43,23,331,3,786.52,5.0,2241.58
44,24,284,2,1420.88,5.0,2699.67
45,24,411,1,444.76,5.0,422.52
46,25,420,1,272.81,0.0,272.81
47,26,419,1,531.05,0.0,531.05
48,26,205,1,91.75,0.0,91.75
49,27,328,1,47.68,15.0,40.53
50,28,389,1,96.74,5.0,91.9
51,28,481,2,106.76,15.0,181.49
52,29,113,1,98.29,10.0,88.46
53,29,164,1,64.44,15.0,54.77
54,30,299,1,85.25,10.0,76.73
55,31,478,1,91.06,0.0,91.06
56,31,475,1,66.33,10.0,59.7
57,32,1,1,44.53,0.0,44.53
58,32,219,4,27.07,0.0,108.28
59,33,364,1,1153.4,0.0,1153.4
60,34,46,1,116.3,5.0,110.48
61,35,9,2,23.48,10.0,42.26
62,35,473,3,132.49,0.0,397.47
63,36,335,3,1204.82,0.0,3614.46
64,37,192,1,48.99,10.0,44.09
65,37,443,2,238.95,5.0,454.0
66,38,377,1,378.29,0.0,378.29
67,38,218,2,37.84,5.0,71.9
68,38,306,1,116.99,10.0,105.29
69,39,482,2,171.46,0.0,342.92
70,40,342,1,78.35,0.0,78.35
71,41,149,1,1158.39,0.0,1158.39
72,42,427,3,15.41,0.0,46.23
73,43,255,2,1352.99,15.0,2300.08
74,43,121,1,174.88,5.0,166.14
75,44,360,3,27.46,10.0,74.14
76,45,442,2,56.69,10.0,102.04
77,46,216,2,440.47,0.0,880.94
78,47,53,1,74.7,5.0,70.96
79,47,5,2,187.84,0.0,375.68
80,48,192,2,48.99,5.0,93.08
81,49,290,1,315.74,0.0,315.74
82,50,377,2,378.29,5.0,718.75
83,50,110,1,190.07,5.0,180.57
84,51,459,2,57.57,5.0,109.38
85,51,322,4,41.18,0.0,164.72
86,51,135,2,54.69,5.0,103.91
87,51,358,1,230.46,10.0,207.41
88,52,450,2,450.61,5.0,856.16
89,52,276,1,786.26,5.0,746.95
90,52,352,1,133.86,20.0,107.09
91,53,61,1,55.79,5.0,53.0
92,53,477,2,261.6,20.0,418.56
93,54,255,1,1352.99,10.0,1217.69
94,54,19,2,11.45,0.0,22.9
95,55,370,1,543.4,0.0,543.4
96,56,9,1,23.48,0.0,23.48
97,57,426,1,278.17,0.0,278.17
98,58,257,1,26.68,10.0,24.01
99,58,138,1,635.55,5.0,603.77
100,59,221,3,1708.9,0.0,5126.7
101,59,422,2,251.83,5.0,478.48
102,59,87,2,399.6,0.0,799.2
103,60,224,1,194.13,5.0,184.42
104,60,435,1,387.14,5.0,367.78
105,60,444,1,147.04,0.0,147.04
106,61,175,1,194.55,5.0,184.82
107,61,376,2,593.69,10.0,1068.64
